,main_image,price_clean,year_clean,age_clean,mileage_clean,dealer_rating,location,title,subtitle,url
456,https://m.atcdn.co.uk/a/media/w480/99595053c7114ed28fdeeda976f919db.jpg,17500,2021,4,59394,,Upminster (16 miles),"Tesla Model 3
(Dual Motor) Long Range Auto 4WDE 4dr, £17,500",(Dual Motor) Long Range Auto 4WDE 4dr,https://www.autotrader.co.uk/car-details/202508275783511?sort=most-recent&searchId=3bfcd01b-80f8-4a05-894f-0337299a047f&aggregatedTrim=Long%20Range&exclude-writeoff-categories=on&make=Tesla&model=Model%203&page=1&postcode=e27bp&year-from=2021&year-to=2021&advertising-location=at_cars&fromsra&backLinkQueryParams=aggregatedTrim%3DLong%2520Range%26channel%3Dcars%26exclude-writeoff-categories%3Don%26latLong%3D%26make%3DTesla%26model%3DModel%25203%26postcode%3De27bp%26sort%3Dmost-recent%26year-from%3D2021%26year-to%3D2021%26refresh%3Dtrue%26flrfc%3D1
457,https://m.atcdn.co.uk/a/media/w480/6fc002bd69e14db398349cfaf647ef0b.jpg,19299,2021,4,41379,,Winsford (156 miles),"Tesla Model 3
(Dual Motor) Long Range Auto 4WDE 4dr, £19,299",(Dual Motor) Long Range Auto 4WDE 4dr,https://www.autotrader.co.uk/car-details/202508275783521?sort=most-recent&searchId=3bfcd01b-80f8-4a05-894f-0337299a047f&aggregatedTrim=Long%20Range&exclude-writeoff-categories=on&make=Tesla&model=Model%203&page=1&postcode=e27bp&year-from=2021&year-to=2021&advertising-location=at_cars&fromsra&backLinkQueryParams=aggregatedTrim%3DLong%2520Range%26channel%3Dcars%26exclude-writeoff-categories%3Don%26latLong%3D%26make%3DTesla%26model%3DModel%25203%26postcode%3De27bp%26sort%3Dmost-recent%26year-from%3D2021%26year-to%3D2021%26refresh%3Dtrue%26flrfc%3D1
458,https://m.atcdn.co.uk/a/media/w480/b7a8800e1e494713afbec68082879ba5.jpg,21999,2021,4,31400,,Marsh Barton (161 miles),"Tesla Model 3
(Dual Motor) Long Range Auto 4WDE 4dr, £21,999",(Dual Motor) Long Range Auto 4WDE 4dr,https://www.autotrader.co.uk/car-details/202508275783598?sort=most-recent&twcs=true&searchId=3bfcd01b-80f8-4a05-894f-0337299a047f&aggregatedTrim=Long%20Range&exclude-writeoff-categories=on&make=Tesla&model=Model%203&page=1&postcode=e27bp&year-from=2021&year-to=2021&advertising-location=at_cars&fromsra&backLinkQueryParams=aggregatedTrim%3DLong%2520Range%26channel%3Dcars%26exclude-writeoff-categories%3Don%26latLong%3D%26make%3DTesla%26model%3DModel%25203%26postcode%3De27bp%26sort%3Dmost-recent%26year-from%3D2021%26year-to%3D2021%26refresh%3Dtrue%26flrfc%3D1
459,https://m.atcdn.co.uk/a/media/w480/4fa91a029cc4424da436f2961872a60f.jpg,17800,2021,4,57684,,Camberley (34 miles),"Tesla Model 3
(Dual Motor) Long Range Auto 4WDE 4dr, £17,800",(Dual Motor) Long Range Auto 4WDE 4dr,https://www.autotrader.co.uk/car-details/202508275784127?sort=most-recent&searchId=3bfcd01b-80f8-4a05-894f-0337299a047f&aggregatedTrim=Long%20Range&exclude-writeoff-categories=on&make=Tesla&model=Model%203&page=1&postcode=e27bp&year-from=2021&year-to=2021&advertising-location=at_cars&fromsra&backLinkQueryParams=aggregatedTrim%3DLong%2520Range%26channel%3Dcars%26exclude-writeoff-categories%3Don%26latLong%3D%26make%3DTesla%26model%3DModel%25203%26postcode%3De27bp%26sort%3Dmost-recent%26year-from%3D2021%26year-to%3D2021%26refresh%3Dtrue%26flrfc%3D1
460,https://m.atcdn.co.uk/a/media/w480/471c41c201264b7e85bbc1c6d04fe4cd.jpg,24499,2023,2,28966,,Winsford (156 miles),"Tesla Model 3
(Dual Motor) Long Range Auto 4WDE 4dr, £24,499",(Dual Motor) Long Range Auto 4WDE 4dr,https://www.autotrader.co.uk/car-details/202508275786271?sort=most-recent&searchId=ad872716-7af2-4657-a49e-141f5022c34b&aggregatedTrim=Long%20Range&exclude-writeoff-categories=on&make=Tesla&model=Model%203&page=1&postcode=e27bp&year-from=2023&year-to=2023&advertising-location=at_cars&fromsra&backLinkQueryParams=aggregatedTrim%3DLong%2520Range%26channel%3Dcars%26exclude-writeoff-categories%3Don%26latLong%3D%26make%3DTesla%26model%3DModel%25203%26postcode%3De27bp%26sort%3Dmost-recent%26year-from%3D2023%26year-to%3D2023%26refresh%3Dtrue%26flrfc%3D1
461,https://m.atcdn.co.uk/a/media/w480/980a188088294506af735fdd9bc4b7f3.jpg,12750,2020,5,95000,,Huddersfield (164 miles),"Tesla Model 3
(Dual Motor) Long Range Auto 4WDE 4dr, £12,750",(Dual Motor) Long Range Auto 4WDE 4dr,https://www.autotrader.co.uk/car-details/202508275786502?sort=most-recent&searchId=4f269269-b0c5-4c03-a8f3-089a8161a568&aggregatedTrim=Long%20Range&exclude-writeoff-categories=on&make=Tesla&model=Model%203&page=1&postcode=e27bp&year-from=2020&year-to=2020&advertising-location=at_cars&fromsra&backLinkQueryParams=aggregatedTrim%3DLong%2520Range%26channel%3Dcars%26exclude-writeoff-categories%3Don%26latLong%3D%26make%3DTesla%26model%3DModel%25203%26postcode%3De27bp%26sort%3Dmost-recent%26year-from%3D2020%26year-to%3D2020%26refresh%3Dtrue%26page%3D5%26flrfc%3D1
462,https://m.atcdn.co.uk/a/media/w480/b24ca63658ec42f4b3537a8ddc4c6014.jpg,17990,2023,2,72637,,Wadhurst (40 miles),"Tesla Model 3
Long Range Auto RWD 4dr, £17,990",Long Range Auto RWD 4dr,https://www.autotrader.co.uk/car-details/202508275789532?sort=mileage&searchId=2382330c-a441-4f31-a2d5-12b067dac3b1&aggregatedTrim=Long%20Range&exclude-writeoff-categories=on&make=Tesla&model=Model%203&page=1&postcode=e27bp&year-from=2023&year-to=2023&advertising-location=at_cars&fromsra&backLinkQueryParams=aggregatedTrim%3DLong%2520Range%26channel%3Dcars%26exclude-writeoff-categories%3Don%26latLong%3D%26make%3DTesla%26model%3DModel%25203%26postcode%3De27bp%26sort%3Dmileage%26year-from%3D2023%26year-to%3D2023%26refresh%3Dtrue%26flrfc%3D1
463,https://m.atcdn.co.uk/a/media/w480/fda531e59ecb45519811843416f2d7a0.jpg,18295,2021,4,50012,,Bury (171 miles),"Tesla Model 3
(Dual Motor) Long Range Auto 4WDE 4dr, £18,295",(Dual Motor) Long Range Auto 4WDE 4dr,https://www.autotrader.co.uk/car-details/202508275790772?sort=most-recent&twcs=true&searchId=5e1f491b-eae3-47a7-95b6-fcab1c7f2cf9&aggregatedTrim=Long%20Range&exclude-writeoff-categories=on&make=Tesla&model=Model%203&page=4&postcode=e27bp&year-from=2021&year-to=2021&advertising-location=at_cars&fromsra&backLinkQueryParams=aggregatedTrim%3DLong%2520Range%26channel%3Dcars%26exclude-writeoff-categories%3Don%26latLong%3D%26make%3DTesla%26model%3DModel%25203%26postcode%3De27bp%26sort%3Dmost-recent%26year-from%3D2021%26year-to%3D2021%26page%3D4%26flrfc%3D1
464,https://m.atcdn.co.uk/a/media/w480/f9d9688810844d379603b204d163aca7.jpg,19995,2021,4,38200,,Cannock (116 miles),"Tesla Model 3
(Dual Motor) Long Range Auto 4WDE 4dr, £19,995",(Dual Motor) Long Range Auto 4WDE 4dr,https://www.autotrader.co.uk/car-details/202508275792022?sort=most-recent&searchId=f70bd6f9-d08e-4be8-9b74-7b8e4b4961f2&aggregatedTrim=Long%20Range&exclude-writeoff-categories=on&make=Tesla&model=Model%203&page=1&postcode=e27bp&year-from=2021&year-to=2021&advertising-location=at_cars&fromsra&backLinkQueryParams=aggregatedTrim%3DLong%2520Range%26channel%3Dcars%26exclude-writeoff-categories%3Don%26latLong%3D%26make%3DTesla%26model%3DModel%25203%26postcode%3De27bp%26sort%3Dmost-recent%26year-from%3D2021%26year-to%3D2021%26refresh%3Dtrue%26flrfc%3D1
465,https://m.atcdn.co.uk/a/media/w480/3dd8d4a2023d4a109ed42d65507dfb91.jpg,17495,2021,4,63000,,Colden Common (66 miles),"Tesla Model 3
(Dual Motor) Long Range Auto 4WDE 4dr, £17,495",(Dual Motor) Long Range Auto 4WDE 4dr,https://www.autotrader.co.uk/car-details/202508275795765?sort=most-recent&searchId=3bfcd01b-80f8-4a05-894f-0337299a047f&aggregatedTrim=Long%20Range&exclude-writeoff-categories=on&make=Tesla&model=Model%203&page=1&postcode=e27bp&year-from=2021&year-to=2021&advertising-location=at_cars&fromsra&backLinkQueryParams=aggregatedTrim%3DLong%2520Range%26channel%3Dcars%26exclude-writeoff-categories%3Don%26latLong%3D%26make%3DTesla%26model%3DModel%25203%26postcode%3De27bp%26sort%3Dmost-recent%26year-from%3D2021%26year-to%3D2021%26refresh%3Dtrue%26flrfc%3D1
